"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4tfdz4KQW9DmDAAVJiUXBh","I Can't Save Us","spotify:artist:1db4VIGVnfIOdVnQv5hQfH","After Nourway","spotify:album:5xc8ACw8fyfo3Bu6KByL43","I Can't Save Us","spotify:artist:1db4VIGVnfIOdVnQv5hQfH","After Nourway","2022-07-08","https://i.scdn.co/image/ab67616d0000b2731e35e7f60d049fe085455ffa","1","1","343566","https://p.scdn.co/mp3-preview/05ea9cfe5c96238fe8e3d90f4f5b2f6dde952028?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2022-07-08T10:00:00Z","","0.524","0.278","10","-8.629","1","0.0286","0.764","0","0.0639","0.541","135.764","4","","After Nourway","C 2022 After Nourway, P 2022 After Nourway"
"spotify:track:61IsztUa3EPy7L0VyfUCAg","It Only Gets Much Worse","spotify:artist:1qUjOF5fzrpoNycD36b2jZ","Nate Ruess","spotify:album:0vrIRUpI2gB2QqOUQEG05v","Grand Romantic","spotify:artist:1qUjOF5fzrpoNycD36b2jZ","Nate Ruess","2015-06-12","https://i.scdn.co/image/ab67616d0000b273549ad91149cdf29a01bf6182","1","9","257973","https://p.scdn.co/mp3-preview/4ae8eb4643097a63933b72887941fcf64cd892bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2022-07-08T10:00:00Z","modern rock","0.59","0.306","7","-4.953","1","0.0299","0.764","0","0.148","0.316","142.418","4","","Fueled By Ramen","C © 2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
"spotify:track:2esqfaQ1qUwVQB4bl5Vc70","Return2Sender","spotify:artist:6nnETPmZS7rdAwzBLhMPXn","Scarypoolparty","spotify:album:5Bqdkiyw3j6JgzhOyrc8Cs","Return2Sender","spotify:artist:6nnETPmZS7rdAwzBLhMPXn","Scarypoolparty","2020-08-28","https://i.scdn.co/image/ab67616d0000b273544d1f6af43bd4c3a0fedcfa","1","1","288192","https://p.scdn.co/mp3-preview/d17f934fb6755374b47ae5e36044bf3f09036ffa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2022-07-08T10:00:00Z","","0.508","0.482","1","-11.571","1","0.0316","0.12","0.283","0.0595","0.381","157.951","4","","Hollywood Records","C © 2020 Hollywood Records, Inc./19 Recordings, Inc., P ℗ 2020 Hollywood Records, Inc./19 Recordings, Inc."
"spotify:track:30Uazw8yvL9Hdz3pvDpo8E","Hate To See You Happy","spotify:artist:6q73EEULvojIg6SdYie6bE","ASHTON","spotify:album:3VbJMciGfe0l2aO2UslKko","Hate To See You Happy","spotify:artist:6q73EEULvojIg6SdYie6bE","ASHTON","2022-04-29","https://i.scdn.co/image/ab67616d0000b273f045417503b084e7e8d089bb","1","1","176017","https://p.scdn.co/mp3-preview/8502a0751046f2ecb84cb5bcff25825b9725955d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2022-07-08T10:00:00Z","","0.835","0.341","0","-12.024","1","0.0516","0.42","0","0.164","0.685","112.962","4","","ASHTON","C 2022 ASHTON, P 2022 ASHTON"
"spotify:track:3rOJlbv7FeB1kYnpf7vA9m","Better (Stripped)","spotify:artist:7g44UGBLEbgaRDKvWATaRp","Olivia Dear","spotify:album:1dMEMv5VbG6GF8lclWuCNr","Better (Stripped)","spotify:artist:7g44UGBLEbgaRDKvWATaRp","Olivia Dear","2020-12-09","https://i.scdn.co/image/ab67616d0000b2737edab3bc2185cb72692d4316","1","1","191226","https://p.scdn.co/mp3-preview/f16d00ad0b2f098d91d0bcbaafd5fbe5398f356a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2022-07-08T10:00:00Z","","0.453","0.205","4","-8.627","1","0.0736","0.903","0.00000577","0.0897","0.215","77.937","4","","Olivia Dear Music","P 2020 Olivia Dear Music"
"spotify:track:6FtOjCh88PmVmDynhicvkc","You Don't Get To - Stripped","spotify:artist:54IqzX9ecr68nJoastw0Nz","Julia Gargano","spotify:album:7B686IbMkI1dteleIZVSeR","You Don't Get To (Stripped)","spotify:artist:54IqzX9ecr68nJoastw0Nz","Julia Gargano","2021-03-26","https://i.scdn.co/image/ab67616d0000b2734c6e62af85e40d744172c86b","1","1","196036","https://p.scdn.co/mp3-preview/f4633d2488e04a10d865296e9193f309d15c8be5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2022-07-08T10:00:00Z","albany ny indie","0.362","0.198","6","-10.501","1","0.0328","0.901","0.00000795","0.102","0.139","144.365","4","","19 Recordings, Inc.","C 2021 19 Recordings, Inc., P 2021 19 Recordings, Inc."
"spotify:track:0RZcgFNVnvolZaPnHwH17t","Hurts Like Hell","spotify:artist:0xV67gxNuTDgWR6CZe0n3y, spotify:artist:1mDZZzO99l93FL4WLSOpma","Blsng, Kristina Nichol","spotify:album:403DSUioUuOYEgXnQjhJ6U","Hurts Like Hell","spotify:artist:0xV67gxNuTDgWR6CZe0n3y, spotify:artist:1mDZZzO99l93FL4WLSOpma","Blsng, Kristina Nichol","2022-04-01","https://i.scdn.co/image/ab67616d0000b27319e810636a7f656dc0f7d81f","1","1","187605","https://p.scdn.co/mp3-preview/42e0fc32ac08006e50619a766517bcfdcc807aab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2022-07-08T10:00:00Z","","0.684","0.297","9","-13.43","1","0.0424","0.909","0.000299","0.208","0.0885","131.968","4","","1717942 Records DK2","C 2022 BLSNG and Kristina Nichol, P 2022 BLSNG and Kristina Nichol"
"spotify:track:1WVpCn4WGCrgGXhhtyUzyM","Lonely - Mahogany Sessions","spotify:artist:56w356OnIbrmFsOFcx3NQN, spotify:artist:4Kp21tQEUB0PHgNV3B86ah","Violet Skies, Mahogany","spotify:album:3RGECSD1Nw11dNnTMmdI2V","Lonely (Mahogany Sessions)","spotify:artist:56w356OnIbrmFsOFcx3NQN, spotify:artist:4Kp21tQEUB0PHgNV3B86ah","Violet Skies, Mahogany","2021-01-14","https://i.scdn.co/image/ab67616d0000b2733ea5fe903d5b41e95d0c52b9","1","1","217049","https://p.scdn.co/mp3-preview/e347e260b68d2dbd647a1c58b1f00e17180a67bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2022-07-08T10:00:00Z","alt z,indie electropop,uk pop,welsh indie","0.372","0.178","7","-9.51","1","0.0506","0.819","0.00000179","0.115","0.362","183.403","4","","Mahogany Sessions","C 2021 Mahogany Sessions, P 2021 Mahogany Sessions"
"spotify:track:1wiw9ZdiSm3PZfdZqCzb0A","Misunderstood","spotify:artist:4aT85lix0NSNB6w9Ozzksq","OSKA","spotify:album:6dyVIZIzfEgDXR4GmnyHvE","Honeymoon Phase","spotify:artist:4aT85lix0NSNB6w9Ozzksq","OSKA","2021-01-08","https://i.scdn.co/image/ab67616d0000b27322b59179773eb2593c57c842","1","4","198048","","false","0","spotify:user:","2022-07-08T10:00:00Z","austrian indie","0.673","0.199","4","-12.351","0","0.0387","0.855","0.0000202","0.36","0.228","123.038","4","","Nettwerk Records","C © 2021 OSKA under exclusive license to Nettwerk Music Group Inc., P ℗ 2021 OSKA under exclusive license to Nettwerk Music Group Inc."
"spotify:track:0FNgddJJSTS9gSS8QGcxG2","Cold Love","spotify:artist:1nusG6Mo4ER2p5ZUA15Wx4","Of Gentlemen & Cowards","spotify:album:2aFYE57whSkjBYJeZHAs0s","Modern Jukebox","spotify:artist:1nusG6Mo4ER2p5ZUA15Wx4","Of Gentlemen & Cowards","2017-01-27","https://i.scdn.co/image/ab67616d0000b273d5003f26c9663f9305a1eae5","1","10","208064","https://p.scdn.co/mp3-preview/3b588daaa30d8abb67cec239978400d6e72cc912?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2022-07-08T10:00:00Z","","0.502","0.447","5","-6.331","1","0.0257","0.459","0","0.199","0.392","78.245","4","","Maisonneuve Music","C 2016 Maisonneuve Music, P 2016 Maisonneuve Music"
"spotify:track:07W2d2U9GilTDQIkp73MIm","OK","spotify:artist:31T99HEreO5nDrKT4H84Gl","Kendall Morgan","spotify:album:7eTmoXe9YWq2kXzvz7Pa39","OK","spotify:artist:31T99HEreO5nDrKT4H84Gl","Kendall Morgan","2021-01-28","https://i.scdn.co/image/ab67616d0000b2734acae23b6528ada1b22445fb","1","1","211006","https://p.scdn.co/mp3-preview/bf5ea6ab8c5a22dc2b95f8980bda1b726175320b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2022-07-08T10:00:00Z","nashville singer-songwriter","0.379","0.526","9","-5.575","1","0.0346","0.0609","0","0.119","0.127","75.492","4","","Independent","C 2021 Independent, P 2021 Independent"
"spotify:track:56ybiNUE5Gim5BtlWRD40o","Seen","spotify:artist:3X9hlPTLBIZ9pEONCQnjTm","DEZI","spotify:album:4pQgKTITrIp8lNGKwNWjWg","Seen","spotify:artist:3X9hlPTLBIZ9pEONCQnjTm","DEZI","2022-02-22","https://i.scdn.co/image/ab67616d0000b273e7eea34f0eba71d3d0a9997a","1","1","207272","https://p.scdn.co/mp3-preview/64f9655c2d17a39968557725a387fd7019fffe33?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:","2022-07-08T10:00:00Z","alt z","0.467","0.377","1","-10.027","1","0.0425","0.896","0.00014","0.112","0.148","87.601","4","","DEZI","C 2022 DEZI, P 2022 DEZI"
"spotify:track:5dQfHH55X0f2nfu9HvvRtz","Latest Ghost - Piano Version","spotify:artist:22qLnGc8B1btqty6d0Qnlm","Lauren Aquilina","spotify:album:5yD1fgzNxXUFfWyWPOyXE1","Ghost World (Piano Versions)","spotify:artist:22qLnGc8B1btqty6d0Qnlm","Lauren Aquilina","2020-12-18","https://i.scdn.co/image/ab67616d0000b27349ef33b62181e8cb871f834e","1","2","171438","https://p.scdn.co/mp3-preview/032839c5d3453e119cc3f4a23ab63670aa4259f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:","2022-07-08T10:00:00Z","neo-singer-songwriter,uk pop,viral pop","0.408","0.247","3","-11.063","1","0.0328","0.632","0","0.0857","0.194","90.845","3","","Lauren Aquilina","C 2020 Lauren Aquilina, P 2020 Lauren Aquilina"
"spotify:track:2lKVd2seyW6OUlMtdPaG5H","Dionne","spotify:artist:6i8Tae6takoQos2JZ4vdRn","Katelyn Tarver","spotify:album:0QHRQl3t7U9f0WDcNAbGMY","Dionne","spotify:artist:6i8Tae6takoQos2JZ4vdRn","Katelyn Tarver","2020-12-18","https://i.scdn.co/image/ab67616d0000b273fcbef1ca90e2fe5971c18ef2","1","1","221943","","true","0","spotify:user:","2022-07-08T10:00:00Z","alt z,post-teen pop,uk pop,viral pop","0.492","0.347","1","-7.513","0","0.0399","0.299","0","0.155","0.157","149.913","4","","Katelyn Tarver","C 2020 Katelyn Tarver, P 2020 Katelyn Tarver"
"spotify:track:45BmSERHSfZFaLH9oWtA1e","brokenhearted (together)","spotify:artist:3HXLY1sNXIxHfulrjPiRf5, spotify:artist:1ClmHgLorY9RUCIvsTdT7A","joan, BEKA","spotify:album:7EQo6zfVoU9iJuIDo9xAW7","brokenhearted (together)","spotify:artist:3HXLY1sNXIxHfulrjPiRf5, spotify:artist:1ClmHgLorY9RUCIvsTdT7A","joan, BEKA","2021-02-11","https://i.scdn.co/image/ab67616d0000b273a3a8bccaa34dcf5b68c2ac20","1","1","212093","https://p.scdn.co/mp3-preview/10eeb9f62d1c3edea045a228b1bceeabc0013f83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2022-07-08T10:00:00Z","chill r&b,electropop,indie poptimism,indietronica,little rock indie,pop,uk pop","0.614","0.622","10","-8.264","1","0.0312","0.0296","0","0.659","0.539","148.959","4","","Photo Finish Records","C © 2021 Photo Finish Records, P ℗ 2021 Photo Finish Records"
"spotify:track:0psjBdZXpbuVFHszanhEEx","Heads and Hearts","spotify:artist:2izy8SMmtv64GiXbCsub37","Taigh Wade","spotify:album:3Gw3XzSzaKYLZXETdsTjjh","Heads and Hearts","spotify:artist:2izy8SMmtv64GiXbCsub37","Taigh Wade","2020-07-07","https://i.scdn.co/image/ab67616d0000b2737b0ce7e7fd5a6f67496bbe59","1","1","214560","https://p.scdn.co/mp3-preview/9d175d543140c92bd1c2622633ffb63fb27bffd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2022-07-08T10:00:00Z","","0.465","0.0713","9","-16.095","1","0.0436","0.974","0","0.0988","0.17","80.114","3","","1898360 Records DK2","C 2020 Taigh Wade, P 2020 Taigh Wade"
"spotify:track:1O2pZvuJQrSY9gBLIbZCYG","Losing Us.","spotify:artist:11k3Y6uyixbyGfgPl8qZTZ","raissa anggiani","spotify:album:16xmYlPdc3CAWwKDihpOzC","Losing Us.","spotify:artist:11k3Y6uyixbyGfgPl8qZTZ","raissa anggiani","2021-01-04","https://i.scdn.co/image/ab67616d0000b273f42a63c771d96f557c3e6ad8","1","1","236885","","false","60","spotify:user:","2022-07-08T10:00:00Z","indonesian lo-fi pop,indonesian pop","0.433","0.208","0","-9.314","1","0.033","0.975","0.00000853","0.114","0.234","135.727","5","","Alfa Records","C 2021 alfarecords, P 2021 alfarecords"
