"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3evAUkYDPeLX5kn0LbvGz4","Hypnocurrency","spotify:artist:4aKdmOXdUKX07HVd3sGgzw, spotify:artist:2CIMQHirSU0MQqyYHq0eOx","Rezz, deadmau5","spotify:album:28WW07Sx0IrAXAb1xDDnD3","Hypnocurrency","spotify:artist:4aKdmOXdUKX07HVd3sGgzw, spotify:artist:2CIMQHirSU0MQqyYHq0eOx","Rezz, deadmau5","2021-04-23","https://i.scdn.co/image/ab67616d0000b273ec08c4260fd2adefbef1296f","1","1","292524","https://p.scdn.co/mp3-preview/5b856cb14a21234e6757a99d0d8c4047f66dc8a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2022-07-15T04:01:00Z","canadian electronic,edm,electra,electro house,canadian electronic,edm,electro house,pop dance,progressive house","0.528","0.732","2","-9.492","1","0.0504","0.0319","0.868","0.109","0.0324","199.978","4","","mau5trap Recordings Limited","C 2021 mau5trap Recordings Limited under exclusive license to AWAL Recordings America, Inc., P 2021 mau5trap Recordings Limited under exclusive license to AWAL Recordings America, Inc."
"spotify:track:7Bpx2vsWfQFBACRz4h3IqH","family ties (with Kendrick Lamar)","spotify:artist:5SXuuuRpukkTvsLuUknva1, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Baby Keem, Kendrick Lamar","spotify:album:3HqmX8hGcbbQZODgayNEYx","family ties (with Kendrick Lamar)","spotify:artist:5SXuuuRpukkTvsLuUknva1, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Baby Keem, Kendrick Lamar","2021-08-27","https://i.scdn.co/image/ab67616d0000b273163028c67a1f4a7c0e83a715","1","1","252069","https://p.scdn.co/mp3-preview/b850748651cf920a41a9eab900f08144e41310d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:","2022-07-15T04:01:00Z","hip hop,rap,conscious hip hop,hip hop,rap,west coast rap","0.711","0.611","1","-5.453","1","0.329","0.00575","0","0.231","0.144","134.14","4","","Columbia","P (P) 2021 Baby Keem, LLC and pgLang LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:0mjGSve5fXuesAutgeN9OI","When The Summer Dies","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:5pdyjBIaY5o1yOyexGIUc6","deadmau5, Lights","spotify:album:1u7CRR2ketwfxA3FKGzEPK","When The Summer Dies","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:5pdyjBIaY5o1yOyexGIUc6","deadmau5, Lights","2021-07-16","https://i.scdn.co/image/ab67616d0000b2731923b215a7523aa32a6959c0","1","1","329531","https://p.scdn.co/mp3-preview/8fe2e9572af2efbcc435101ed5e90a661d93016f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:","2022-07-15T04:01:00Z","canadian electronic,edm,electro house,pop dance,progressive house,canadian folk,canadian pop,electropop,indie poptimism","0.795","0.642","1","-7.094","1","0.0516","0.000472","0.0522","0.226","0.446","127.986","4","","mau5trap Recordings Limited","C 2021 mau5trap Recordings Limited under exclusive license to AWAL Recordings America, Inc., P 2021 mau5trap Recordings Limited under exclusive license to AWAL Recordings America, Inc."
"spotify:track:7eJqLdEQ96D5Xzc406xkeZ","Nothing For Free","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","spotify:album:2C5pOup7ksQ7YFutOlP6nA","Nothing For Free","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B","Pendulum","2020-09-17","https://i.scdn.co/image/ab67616d0000b273f1d53984a56564a3046678c9","1","2","183049","https://p.scdn.co/mp3-preview/1e69972e3d535236a01a9e2d07868cd5c2605b03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2022-07-15T04:01:00Z","australian dance,dancefloor dnb,drum and bass","0.473","0.929","3","-3.825","0","0.0406","0.00353","0.000289","0.113","0.771","160.076","4","","Earstorm Records","C (C) 2020 Earstorm Records, P (P) 2020 Earstorm Records"
"spotify:track:63WuQOXohQIxOxIFA2K7bR","SUPERMODEL","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:5jhbLeXH1a3SRSOg84GSUn","SUPERMODEL","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2022-05-13","https://i.scdn.co/image/ab67616d0000b2737a06505bb6d361bb7141166f","1","1","148064","https://p.scdn.co/mp3-preview/93c5f800d1e0e7d988f1c96e23078357ffde8d4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:","2022-07-15T04:01:00Z","indie rock italiano,italian pop","0.636","0.876","7","-3.413","1","0.0555","0.00164","0","0.117","0.799","120.983","4","","Epic","P An Epic release (P) 2022 Sony Music Entertainment Italy S.p.A."
"spotify:track:0LwScqPc3ALwZtOPW65ITG","Violence - REZZ Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:0y42IQBDFigO5mmEd1bGQG, spotify:artist:4aKdmOXdUKX07HVd3sGgzw","Grimes, i_o, Rezz","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","4","195300","","false","0","spotify:user:","2022-07-15T04:01:00Z","art pop,canadian electropop,dance pop,grave wave,indietronica,metropopolis,pop,edm,electro house,canadian electronic,edm,electra,electro house","0.596","0.661","2","-7.533","0","0.0382","0.0713","0.817","0.209","0.124","99.951","4","","4AD","C 2021 4AD Ltd, P 2021 4AD Ltd"
"spotify:track:3Wf6hVbr3YWCWt9py5OzDy","303 State","spotify:artist:5BFl4h5TXYSSJsCteTX3s1, spotify:artist:0frSMmZSEdr8pVRi8PBSwF","Ramon Tapia, Kai Tracid","spotify:album:2Rk7WeMa2O3KhtTlKbg4vH","303 State","spotify:artist:5BFl4h5TXYSSJsCteTX3s1, spotify:artist:0frSMmZSEdr8pVRi8PBSwF","Ramon Tapia, Kai Tracid","2020-08-07","https://i.scdn.co/image/ab67616d0000b273bbd10a0bf49ddd5ed2b2f8cf","1","1","453068","https://p.scdn.co/mp3-preview/8052268e0da27ed25a945905aebd60696b883bdb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2022-07-15T04:01:00Z","belgian techno,deep minimal techno,tech house,bubble trance,german techno,german trance,hard trance,trance","0.727","0.932","0","-5.247","1","0.098","0.00774","0.83","0.0824","0.157","132.991","4","","Say What?","C 2020 Say What?, P 2020 Say What?"
"spotify:track:4skbQNtyjy8A7mo8oqe2oD","A Drug From God","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:3YEsNNbHlb88K9QCog4R0Y","Chris Lake, NPC","spotify:album:6tZzL3lTVgWhJb2cE2jz1f","A Drug From God","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:3YEsNNbHlb88K9QCog4R0Y","Chris Lake, NPC","2021-11-12","https://i.scdn.co/image/ab67616d0000b273efa73dc6e54767a9659a4e6f","1","1","192455","https://p.scdn.co/mp3-preview/b377107d1def1e3f405f2897c404ebff81e66c2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2022-07-15T04:01:00Z","bass house,deep groove house,edm,electro house,house,melbourne bounce,pop dance,progressive house","0.714","0.883","9","-4.43","1","0.0625","0.00819","0.843","0.231","0.819","126.016","4","","Black Book Records/Astralwerks","C © 2021 Black Book Records, LLC, under exclusive license to UMG Recordings, Inc., P Black Book Records/Astralwerks; ℗ 2021 Black Book Records, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:3p7bWzqLgmHc172MBh7Vd2","Paper Walls","spotify:artist:4aKdmOXdUKX07HVd3sGgzw, spotify:artist:1rCIEwPp5OnXW0ornlSsRl","Rezz, Metric","spotify:album:59d750ai99PfyZ5zTUQWfY","Spiral","spotify:artist:4aKdmOXdUKX07HVd3sGgzw","Rezz","2021-11-19","https://i.scdn.co/image/ab67616d0000b2739f0b3b11283ba66c3022c90d","1","5","219561","","false","13","spotify:user:","2022-07-15T04:01:00Z","canadian electronic,edm,electra,electro house,alternative dance,canadian indie,canadian rock,electropop,indie pop,indie rock,indietronica,metropopolis,modern rock,neo-synthpop,new rave","0.558","0.744","9","-6.103","1","0.033","0.00846","0.0029","0.346","0.194","97.945","4","","Rezz Music/RCA Records","P (P) 2021 Rezz Music, Inc. under exclusive license to RCA Records"
"spotify:track:08Ecw0ItPxGeHS9Mexr8cs","Redlight","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Swedish House Mafia, Sting","spotify:album:79YZVPlv0WgFrhi0jxAjd0","Redlight","spotify:artist:1h6Cn3P4NGzXbaXidqURXs, spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Swedish House Mafia, Sting","2022-02-25","https://i.scdn.co/image/ab67616d0000b273a74c3257ec41f99b114cfbf2","1","1","242904","","false","43","spotify:user:","2022-07-15T04:01:00Z","edm,pop,pop dance,progressive electro house,permanent wave,soft rock,sophisti-pop","0.716","0.655","2","-5.999","1","0.0444","0.00857","0.162","0.0572","0.207","125.012","4","","Republic Records","C © 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2022 SSA Recording, LLP, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
