"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1zmgEIHE0eXH0IhBGuoTkP","Run","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:6YKk4wlKdACRITGKmGnoIm","Nectar","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2020-09-24","https://i.scdn.co/image/ab67616d0000b27323c552a7a4fdafac02e08c34","1","7","195000","https://p.scdn.co/mp3-preview/14227cff2077730360410cebc23fd94501525fda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2022-07-01T10:00:00Z","viral pop","0.448","0.72","7","-3.954","1","0.0332","0.0427","0.000292","0.614","0.361","157.919","3","","88rising Music/Warner Records","C © 2020 88rising Records/Warner Records Inc., P ℗ 2020 88rising Records/Warner Records Inc. except track 4 ℗ 2020 88rising Records/Warner Records Inc./Mad Decent, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3esXPgOL5ph4Zi8SF6xg5Q","All I Know","spotify:artist:59HyKDC9r5zpdyq5eraay1","Tadhg Daly","spotify:album:3eZzzMEcH68yo0uVCgjkN3","All I Know","spotify:artist:59HyKDC9r5zpdyq5eraay1","Tadhg Daly","2022-06-24","https://i.scdn.co/image/ab67616d0000b273a5399b51d22f529e6a289e0e","1","1","172152","https://p.scdn.co/mp3-preview/61b2df7da2ab938d05599b87ffc8fe4267787ea7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:","2022-07-01T10:00:00Z","channel islands indie","0.746","0.47","8","-7.557","1","0.0342","0.614","0.0000354","0.12","0.363","121.962","4","","Silent Kid Records","C 2022 Tadhg Daly in association with Silent Kid Records and Secretly Noord, P 2022 Tadhg Daly in association with Silent Kid Records and Secretly Noord"
"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Running Up That Hill (A Deal With God)","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","spotify:album:5BWl0bB1q0TqyFmkBEupZy","Hounds Of Love","spotify:artist:1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","1985","https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27","1","1","298933","https://p.scdn.co/mp3-preview/16386d8d6335a6d86f6baae3e49d8cc9135485c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","97","spotify:user:","2022-07-01T10:00:00Z","art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter,uk pop","0.629","0.547","10","-13.123","0","0.055","0.72","0.00314","0.0604","0.197","108.375","4","","Parlophone UK","C © 2011 Noble And Brite This label copy information is the subject of copyright protection. All rights reserved., P ℗ 2011 The copyright in this sound recording is owned by Noble And Brite"
"spotify:track:50I6fV2otuiDmigTtN6WMY","When It's Cold I'd Like to Die","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:4JgnH6sdkW0fv3jU4ZgcT0","Everything Is Wrong","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","1995-03-14","https://i.scdn.co/image/ab67616d0000b2738605829d4c308ad7ae8fccbc","1","13","254000","","false","55","spotify:user:","2022-07-01T14:52:00Z","downtempo,electronica","0.165","0.184","0","-15.947","1","0.0371","0.288","0.000245","0.184","0.0391","69.796","3","","Mute, a BMG Company","C © 1995 Mute Records Ltd., a BMG Company, P ℗ 1995 Mute Records Ltd., a BMG Company"
"spotify:track:2fgsTIpGlD5odlua0y7gIQ","Drink Before the War","spotify:artist:4sD9znwiVFx9cgRPZ42aQ1","Sinéad O'Connor","spotify:album:60gQ6EG1JFQWWUcasx7wKc","Lion and the Cobra","spotify:artist:4sD9znwiVFx9cgRPZ42aQ1","Sinéad O'Connor","1987-11-04","https://i.scdn.co/image/ab67616d0000b273d461c3524b718efb2d04821e","1","8","323133","","false","61","spotify:user:","2022-07-01T10:00:00Z","lilith,new wave pop,pop rock","0.508","0.265","8","-12.254","0","0.0316","0.537","0.0046","0.15","0.0973","123.936","4","","Chrysalis Records","C 2016 Chrysalis Records Limited, P 1987 Chrysalis Records Limited"
"spotify:track:4WrTZMTw20I1N6oH0xdUXm","Had Enough","spotify:artist:3M9P7WlQrG5BKcxkFiXM3Z","Jordan Doww","spotify:album:2XDIaG18s0qtj14PnDyxli","Had Enough","spotify:artist:3M9P7WlQrG5BKcxkFiXM3Z","Jordan Doww","2022-02-15","https://i.scdn.co/image/ab67616d0000b273fb50358d3f8970ebe28e8388","1","1","222598","https://p.scdn.co/mp3-preview/41c8136e4288396545ce5aabec3034a263310d9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2022-07-01T10:00:00Z","","0.391","0.535","6","-6.143","1","0.0399","0.17","0.000381","0.179","0.209","148.774","4","","Jordan Dowodzenka","C 2022 Jordan Dowodzenka, Inc., P 2022 Jordan Dowodzenka, Inc."
"spotify:track:1b8xQNwScunmwlmVrUsIlp","Stop The Party","spotify:artist:31Sw8RRROaHLjst7yEXwZF","TYNSKY","spotify:album:4mg3nVmVEOS0QOwlLTskYI","Stop The Party","spotify:artist:31Sw8RRROaHLjst7yEXwZF","TYNSKY","2021-10-22","https://i.scdn.co/image/ab67616d0000b273f282ca9bee337f4afb018eed","1","1","212377","https://p.scdn.co/mp3-preview/fbd8e2ae310439b8c60f77e0972859c736973d9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2022-07-01T10:00:00Z","","0.3","0.29","7","-10.464","1","0.0309","0.827","0.000202","0.115","0.0397","61.213","4","","Magic Records","C 2021 Magic Records, P 2021 Magic Records"
"spotify:track:1eESWyzhdJ9xK43bEKkyC2","Operation","spotify:artist:0mmyKBWgn1uLARaLq6y7si","JJ","spotify:album:1IfHghYwCKxldc6hlFMEfG","Sad Songs 2 Suck My Dick 2","spotify:artist:0mmyKBWgn1uLARaLq6y7si","JJ","2021-08-13","https://i.scdn.co/image/ab67616d0000b273e5dbc90bf2a5f3aca9cf7f95","1","3","196030","https://p.scdn.co/mp3-preview/0207d12c108acfd5a36b5556ce59177d149dda8d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:","2022-07-01T10:00:00Z","","0.621","0.741","11","-5.363","0","0.0279","0.0877","0.00000396","0.232","0.529","130.999","4","","JJ","C 2021 JJ, P 2021 JJ"
"spotify:track:3Nc86B5XmDlG1KuEeSLD8x","Ew","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","spotify:album:6YKk4wlKdACRITGKmGnoIm","Nectar","spotify:artist:3MZsBdqDrRTJihTHQrO6Dq","Joji","2020-09-24","https://i.scdn.co/image/ab67616d0000b27323c552a7a4fdafac02e08c34","1","1","207710","https://p.scdn.co/mp3-preview/9b9f680e02fa83ad491ddcc92119aa54492b0d4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2022-07-01T10:00:00Z","viral pop","0.48","0.373","10","-9.297","1","0.0278","0.804","0.067","0.12","0.0376","114.078","4","","88rising Music/Warner Records","C © 2020 88rising Records/Warner Records Inc., P ℗ 2020 88rising Records/Warner Records Inc. except track 4 ℗ 2020 88rising Records/Warner Records Inc./Mad Decent, under license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:0Zq7eJrwaAZyyBf1yOyFop","Fabricated","spotify:artist:2AofFktDEQuzk1LKKEQ9Ox","Katy for Kings","spotify:album:2wDZQ2KZF8k6tPM2Ai6Pw0","Fabricated","spotify:artist:2AofFktDEQuzk1LKKEQ9Ox","Katy for Kings","2022-03-31","https://i.scdn.co/image/ab67616d0000b273026f148f10b3a779f548ffd0","1","1","169588","https://p.scdn.co/mp3-preview/f777f6800c0d6959296f8c137e40b44ed47a51cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2022-07-01T10:00:00Z","","0.388","0.17","3","-12.037","1","0.0737","0.899","0","0.128","0.174","170.256","4","","21 Club","C 2022 21 Club, P 2022 21 Club"
