"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5EcZL9ug4iU6C7Dqqfixgt","We were the hook","spotify:artist:5VrQgRw2aE8eIfz6bWGuWE","Lupe Sinsonte","spotify:album:5qtASuu0vG7fEmdjnb9ytb","We were the hook","spotify:artist:5VrQgRw2aE8eIfz6bWGuWE","Lupe Sinsonte","2022-06-24","https://i.scdn.co/image/ab67616d0000b27357c6a18e82ce27525921b66f","1","1","127260","https://p.scdn.co/mp3-preview/08963904cf467eade59e7a0b9cde1b919fe41bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2022-07-15T08:55:38Z","background piano","0.426","0.0303","9","-28.242","1","0.0506","0.994","0.897","0.0926","0.111","98.668","4","","Periférica","C 2022 Lupe Sinsonte, P 2022 Lupe Sinsonte"
"spotify:track:2XPxkVgxyj4QVaW78kS5vb","Estelle","spotify:artist:7B0BAZDsfvl8duBfVjlSyJ","Doris Casella","spotify:album:2RtrUW1IaYnI9OAVN4XGDY","Estelle","spotify:artist:7B0BAZDsfvl8duBfVjlSyJ","Doris Casella","2022-05-06","https://i.scdn.co/image/ab67616d0000b273a628110dab57e1113bc1e02d","1","1","118500","https://p.scdn.co/mp3-preview/881b219afa50417f1cfce4b301b254dd6373d41e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2022-07-15T08:55:38Z","background piano","0.216","0.0575","7","-25.96","0","0.0501","0.994","0.951","0.109","0.151","206.686","4","","Doris Casella","C Doris Casella, P Doris Casella"
"spotify:track:2bjQvSk5T3A2dmnqqeRhzI","Saying Things","spotify:artist:0RYljGNR9lf53Pg1BrHNQc","Emanuel Fremont","spotify:album:4iKAhtxr1Vdm5l8eMhmgs9","Saying Things","spotify:artist:0RYljGNR9lf53Pg1BrHNQc","Emanuel Fremont","2022-04-01","https://i.scdn.co/image/ab67616d0000b273b94f78cf2a6ac9c700ee2812","1","1","123500","https://p.scdn.co/mp3-preview/480ddb3db6f69bc71593f959a1d5e552e29d3179?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2022-07-15T08:55:38Z","background piano","0.307","0.0381","11","-28.197","1","0.0423","0.993","0.945","0.104","0.0631","72.453","5","","Emanuel Fremont","C Emanuel Fremont, P Emanuel Fremont"
"spotify:track:63oFS9JTsvadCXUqwqA7p0","Shizukana","spotify:artist:3II88PGmCu7WfT5ni8F5fi","Isshi Matsuriza","spotify:album:74x8LKWeBPXDJxB0IDlCep","Shizukana","spotify:artist:3II88PGmCu7WfT5ni8F5fi","Isshi Matsuriza","2022-04-08","https://i.scdn.co/image/ab67616d0000b273541a11cb933e39048d04678a","1","1","131786","https://p.scdn.co/mp3-preview/8fa419ba614d2f21ab586fb527dd416883d0b28c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2022-07-15T08:55:38Z","","0.47","0.0593","7","-28.563","1","0.0355","0.99","0.934","0.104","0.178","113.418","4","","Audiowell","C Isshi Matsuriza, P Isshi Matsuriza"
"spotify:track:0yccHAlypw9zM9Pf33lLjd","Returning","spotify:artist:6ht27sA8oqmvcG4a2gcCsk","Milo Edale","spotify:album:3hZ1OaonuWlr1NO4zsTxmj","Returning","spotify:artist:6ht27sA8oqmvcG4a2gcCsk","Milo Edale","2022-06-27","https://i.scdn.co/image/ab67616d0000b2730869cf779e59fe972e8a2e58","1","1","140250","https://p.scdn.co/mp3-preview/1ecc5184f4271a208cab0ab99c46728abcf9563d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2022-07-15T08:55:38Z","background music,background piano","0.334","0.0203","7","-32.364","0","0.0325","0.993","0.919","0.0917","0.351","88.396","4","","Milo Edale","C 2022 Milo Edale, P 2022 Milo Edale"
"spotify:track:0B5emsAmwLIx51EPR5W90G","Beyond","spotify:artist:2bIXvuS0oWRDjDssmmct8G","Tormund","spotify:album:256IW7GzDyiWn4Hn9wtLAH","Beyond","spotify:artist:2bIXvuS0oWRDjDssmmct8G","Tormund","2022-07-08","https://i.scdn.co/image/ab67616d0000b27380f1d9674ea461805cb8e5d0","1","1","164911","https://p.scdn.co/mp3-preview/b6d3c51adc82bafbc766ebbb9ee3c1c05894a71e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2022-07-15T08:55:38Z","","0.376","0.0714","5","-23.369","1","0.042","0.981","0.839","0.0978","0.0744","93.277","3","","Barry Hudson-Taylor","C 2022 Tormund, P 2022 Tormund"
"spotify:track:70pC9IQb39VDNUm3Uio5kD","Un sourire et une larme (valse)","spotify:artist:1ZU9WJfipgna3ANBoomXYk","Tom Kristiaan","spotify:album:0sHbXMgCDveBs71HiIJulB","Petites danses et rêveries","spotify:artist:1ZU9WJfipgna3ANBoomXYk","Tom Kristiaan","2022-05-20","https://i.scdn.co/image/ab67616d0000b2737169143feb96a1b25385d91c","1","5","146090","https://p.scdn.co/mp3-preview/3b4e587f640023568e33a2ec02b2117354cce79c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2022-07-15T08:55:38Z","","0.441","0.018","10","-27.154","0","0.0456","0.994","0.952","0.116","0.204","107.794","3","","Piano and Nature","C © 2022 Piano and Nature, P ℗ 2022 Piano and Nature"
"spotify:track:2p5THyuNwpJ9c7ex3TN383","Nowesind","spotify:artist:2ClAWj3iKUlyddnvR6faUP","Jacob David","spotify:album:0nz4s5aDqAOYKdbogoo15X","Nowesind","spotify:artist:2ClAWj3iKUlyddnvR6faUP","Jacob David","2022-02-25","https://i.scdn.co/image/ab67616d0000b273e4c1f7ad455b466e7fd89a11","1","1","119120","https://p.scdn.co/mp3-preview/c9ad35690b617584e79186ed3ad378052b6ceb79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:","2022-07-15T08:55:38Z","background piano,neo-classical","0.304","0.0902","10","-32.824","1","0.0489","0.903","0.907","0.111","0.318","114.487","4","","Moderna Records","C 2022 Moderna Records, P 2022 Moderna Records"
"spotify:track:2HwCcCi8Up9NECNBRt0yTV","Hideaway","spotify:artist:5mvjbSc65aNXZZ0G4p6bMQ","Igulfrid","spotify:album:1Vhx6ow2PDJROoX3ND5dEy","Hideaway","spotify:artist:5mvjbSc65aNXZZ0G4p6bMQ","Igulfrid","2022-04-15","https://i.scdn.co/image/ab67616d0000b273ccc52c28150517d57b777f98","1","1","148906","https://p.scdn.co/mp3-preview/4e37bb0a59e27f31ab8559471c0f69928d66b8e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2022-07-15T08:55:38Z","","0.356","0.0186","9","-26.729","1","0.042","0.991","0.929","0.0996","0.154","84.753","4","","Igulfrid","C 2022 Igulfrid, P 2022 Igulfrid"
"spotify:track:5DezuV0RFcMcgA11UGdGBR","Hommage d'amitié","spotify:artist:1o402msQD5tWRl4y5jnrvI","Gunnel Boek","spotify:album:1TdvDFv91Ff5iDdqK8K64x","Hommage d'amitié","spotify:artist:1o402msQD5tWRl4y5jnrvI","Gunnel Boek","2022-05-27","https://i.scdn.co/image/ab67616d0000b2737fe68c8f85deb5f8226fb18c","1","1","136648","https://p.scdn.co/mp3-preview/f41d56ec560fad7332055ef0354325cec82a9e89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:","2022-07-15T08:55:38Z","","0.419","0.043","5","-29.477","1","0.0372","0.99","0.954","0.105","0.375","181.943","4","","Spirit Of Hule","C 2022 Spirit Of Hule, P 2022 Spirit Of Hule"
