"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3XgGQ1wjo5khvq2UImjyNF","ALL MINE","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:0PHMNbcgHfzSUALlfk7wGg","WASTELAND","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2022-07-08","https://i.scdn.co/image/ab67616d0000b2734b8f2487967251bae2efbc27","1","6","216062","https://p.scdn.co/mp3-preview/ab711cebfe920ec29a0af6570f635c7784f535d9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:","2022-07-08T10:00:00Z","dmv rap,hip hop,pop,r&b,rap","0.617","0.378","9","-8.54","1","0.0315","0.428","0.0000916","0.11","0.22","141.967","4","","Lost Kids LLC., Marketed by Venice / Stem","P 2022 Lost Kids LLC., Marketed by Venice / Stem"
"spotify:track:5M0VNxtJnBfROF0wYRWeWr","Parade","spotify:artist:2nMtboATQpmDWebmKRsqpE","NIGHT FLIGHT","spotify:album:10nSCyhBcT3murrVJ6rpAg","Parade","spotify:artist:2nMtboATQpmDWebmKRsqpE","NIGHT FLIGHT","2018-04-06","https://i.scdn.co/image/ab67616d0000b2736629b5082b8a68867ab350fc","1","1","231498","","false","0","spotify:user:","2022-07-08T10:00:00Z","","0.505","0.332","9","-10.247","0","0.028","0.587","0.00154","0.0996","0.306","136.068","4","","CRC Records","C (C) 2018 CRC Records"
"spotify:track:7z0JcZ8PQoAfUaLIXvbyTH","More Than Words","spotify:artist:6w7j5wQ5AI5OQYlcM15s2L","Extreme","spotify:album:4hgVjEoyjjCXhMg5dZtGiI","The Best Of Extreme (An Accidental Collication Of Atoms)","spotify:artist:6w7j5wQ5AI5OQYlcM15s2L","Extreme","1998-01-01","https://i.scdn.co/image/ab67616d0000b273b25b82bad8a4207053e3109c","1","8","335946","","false","0","spotify:user:","2022-07-08T10:00:00Z","album rock,funk metal,glam metal,hard rock,rock","0.621","0.144","6","-14.201","1","0.0298","0.464","0","0.12","0.255","91.354","4","","A&M","C © 1998 A&M Records, P ℗ 1998 A&M Records"
"spotify:track:0uih5xFdBDFIUrqqLbMbXh","The World's Smiling Now","spotify:artist:1MhtYlJvUqfd2EgHSQTGK4","Jim James","spotify:album:36C2aKoHatN8ZQRmyW5z3z","Eternally Even","spotify:artist:1MhtYlJvUqfd2EgHSQTGK4","Jim James","2016-11-04","https://i.scdn.co/image/ab67616d0000b273408d05c7c0d54f974175ae13","1","4","293413","","false","0","spotify:user:","2022-07-08T10:00:00Z","indie rock,shiver pop","0.585","0.475","11","-8.12","0","0.0343","0.684","0.0312","0.0929","0.349","80.448","4","","Universal Music Group","C © 2016 ATO Records, LLC, under exclusive license to Capitol Records, P ℗ 2016 ATO Records, LLC, under exclusive license to Capitol Records"
"spotify:track:3X1R2hYu7PeUNG2rOd9b7w","Home","spotify:artist:45RZn1pAEvQYqkRnvFaIJx","Dylan Sinclair","spotify:album:0UGslTI60Tlnf3nRga8znK","Proverb","spotify:artist:45RZn1pAEvQYqkRnvFaIJx","Dylan Sinclair","2020-09-25","https://i.scdn.co/image/ab67616d0000b27352b59e9a80756e297db709ee","1","3","201601","https://p.scdn.co/mp3-preview/2d757fa0d411e1b53e2f3a3c628e791d89c236f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2022-07-08T10:00:00Z","alternative r&b,canadian contemporary r&b,chill r&b,indie r&b","0.369","0.318","0","-13.166","1","0.046","0.706","0.0944","0.108","0.0517","89.449","3","","Five Stone Records Inc.","C (C) 2020 Five Stone Records, P (P) 2020 Five Stone Records"
"spotify:track:6ADSaE87h8Y3lccZlBJdXH","With Or Without You - Remastered","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","spotify:album:5y6wlw1LnqFnQFruMeiwGU","The Joshua Tree (Super Deluxe)","spotify:artist:51Blml2LZPmy7TTiAg47vQ","U2","1987-03-03","https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe","1","3","295515","https://p.scdn.co/mp3-preview/50186553f40fa453b4f7663399e13bd176594d5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2022-07-08T10:00:00Z","irish rock,permanent wave,rock","0.54","0.429","2","-11.822","1","0.0285","0.000202","0.355","0.141","0.113","110.171","4","","UMC (Universal Music Catalogue)","C © 2017 Island Records, a division of Universal Music Operations Limited, P This Compilation ℗ 2017 Island Records, a division of Universal Music Operations Limited"
"spotify:track:01DZmwlwEM41LThtOOapZM","Timeless","spotify:artist:0BCK8dKHWITYcDo06Fuxth, spotify:artist:7d86ERlvO5UG44j7Va0Y0C","Jinan Laetitia, Pamungkas","spotify:album:2LjnDM6eo9JKIJ7E9rn6Np","The More","spotify:artist:0BCK8dKHWITYcDo06Fuxth","Jinan Laetitia","2021-11-12","https://i.scdn.co/image/ab67616d0000b273901d65401e64ff913efecce8","1","2","230947","https://p.scdn.co/mp3-preview/c55ac60644c5f05149674b44aadb0bd662391ee7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2022-07-08T10:00:00Z","indonesian pop,indonesian singer-songwriter","0.545","0.251","7","-8.875","1","0.0336","0.917","0.00000846","0.13","0.173","142.549","3","","WM Indonesia","C © 2021 Warner Music Indonesia, P ℗ 2021 Warner Music Indonesia"
"spotify:track:3yUcJwYu7fXAfqMj9krY6l","Thank You","spotify:artist:2mpeljBig2IXLXRAFO9AAs","Dido","spotify:album:7ydMeYrv8bFFRkkHepoJM4","No Angel","spotify:artist:2mpeljBig2IXLXRAFO9AAs","Dido","1999","https://i.scdn.co/image/ab67616d0000b2733e5cbf3b3ac5905cb68377d5","1","6","218360","https://p.scdn.co/mp3-preview/512f9fe3f3616ab9153d0790bfeaedc8d2cb903b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:","2022-07-08T10:00:00Z","pop rock","0.725","0.583","1","-9.942","0","0.0427","0.3","0.000238","0.0665","0.762","79.984","4","","Sony BMG Music UK","P (P) 2008 Sony BMG Music Entertainment (UK) Limited"
"spotify:track:5JdnVXe1i6CI8a0cdPtLOc","Shelter","spotify:artist:3wnsAakCkhyU3yKQYMZmGo","David Ryan Harris","spotify:album:7cVQV3nQQebitwdDJMKmT9","Lightyears","spotify:artist:3wnsAakCkhyU3yKQYMZmGo","David Ryan Harris","2015-10-23","https://i.scdn.co/image/ab67616d0000b27342a6ffdc22eac7be94da9970","1","5","250893","https://p.scdn.co/mp3-preview/113ff53d94db56703bee595db5027c29baa07528?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2022-07-08T10:00:00Z","acoustic pop,neo mellow","0.576","0.428","10","-10.312","0","0.0305","0.367","0.00000291","0.114","0.403","138.681","4","","Peace Pourage Records","C 2015 Peace Pourage Records, P 2015 Peace Pourage Records"
"spotify:track:3aqTTareFsrd7gMeV7Qvif","How Deep Is Your Love","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:684Fi6YqIP9xU9JeboAgVM","Greatest","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-01-01","https://i.scdn.co/image/ab67616d0000b27340b421ae6b0a1206390cc52a","1","6","245200","","false","0","spotify:user:","2022-07-08T10:00:00Z","disco,mellow gold,soft rock","0.633","0.357","5","-9.366","0","0.0264","0.105","0","0.133","0.674","104.938","4","","Universal Music Group","C © 2007 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group, P ℗ 2007 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group"
